# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
2.800000000000000266e+00,-1.358291856896276739e+00,5.024822252338569939e-01,-2.390582699070626482e+00,6.442176872376911279e-01,-4.438550053084332481e-01,-1.413333511002987430e+00,-2.746929869360693610e-01,1.912105468211220960e-01,1.399647535714527935e+00,-5.024822252338569939e-01,2.979058710182336811e-01,-4.026360545235569549e-02
2.850000000000000089e+00,-1.378727524926548265e+00,4.312170185138165523e-01,-2.403933527890381061e+00,6.537276367571392965e-01,-3.734290838519282452e-01,-1.436680856329635603e+00,-2.591126303731551284e-01,1.891824808452023388e-01,1.416762775751913894e+00,-4.312170185138165523e-01,3.252083758410914127e-01,-4.085797729732120603e-02
2.900000000000000355e+00,-1.395622072700462013e+00,3.588739938209729585e-01,-2.416471471712350993e+00,6.631354426633497834e-01,-3.022416594884937968e-01,-1.456437247724386097e+00,-2.421830243354124446e-01,1.871248554915412587e-01,1.430102456840539826e+00,-3.588739938209729585e-01,3.518584250975285710e-01,-4.144596516645936146e-02
2.950000000000000178e+00,-1.408942156425269765e+00,2.856339710415405353e-01,-2.428129927048730874e+00,6.724396350057894045e-01,-2.304822027073313573e-01,-1.472553304497681292e+00,-2.239393935733653973e-01,1.850379922599141580e-01,1.439640613575690065e+00,-2.856339710415405353e-01,3.777521872367771705e-01,-4.202747718786183778e-02
3.000000000000000000e+00,-1.418663933944444455e+00,2.116800120898008064e-01,-2.438844180782808735e+00,6.816387600233341226e-01,-1.583412214896552372e-01,-1.484988744900668234e+00,-2.044221143132972651e-01,1.829222172184552242e-01,1.445361717467659401e+00,-2.116800120898008064e-01,4.027874946770496623e-01,-4.260242250145838266e-02
3.050000000000000266e+00,-1.424773103554736409e+00,1.371969633486551099e-01,-2.448551665513474251e+00,6.907313803714157929e-01,-8.600973884031339056e-02,-1.493712486808591811e+00,-1.836766221085099904e-01,1.807778609527101454e-01,1.447260696940890989e+00,-1.371969633486551099e-01,4.268642010902768957e-01,-4.317071127321348706e-02
3.100000000000000089e+00,-1.427264916687076335e+00,6.237099364993573675e-02,-2.457192209847622433e+00,6.997160753466035166e-01,-1.367877005520020534e-02,-1.498702725409919223e+00,-1.617533019451797283e-01,1.786052585139828452e-01,1.445342927909241570e+00,-6.237099364993573675e-02,4.498845337381062737e-01,-4.373225470916271979e-02
3.150000000000000355e+00,-1.426144164474870024e+00,-1.261087105072359466e-02,-2.464708282759859426e+00,7.085914411085870723e-01,5.846119880596600121e-02,-1.499946987707013069e+00,-1.387073608794454904e-01,1.764047493669841093e-01,1.439624195006010465e+00,1.261087105072359466e-02,4.717534396934540686e-01,-4.428696506928669202e-02
3.200000000000000178e+00,-1.421425138306573466e+00,-8.756121514137013562e-02,-2.471045231154191057e+00,7.173560908995227914e-01,1.302207297779441331e-01,-1.497442163692129569e+00,-1.145986835402686005e-01,1.741766773367913468e-01,1.430130623631561404e+00,8.756121514137013562e-02,4.923789247982378048e-01,-4.483475568122017446e-02
3.250000000000000000e+00,-1.413131564532382756e+00,-1.622927017951625583e-01,-2.476151509780539328e+00,7.260086552607125654e-01,2.014119477260628011e-01,-1.491194514120819381e+00,-8.949167088957260541e-02,1.719213905551262023e-01,1.416898583064973405e+00,1.622927017951625583e-01,5.116723842279464751e-01,-4.537554095379453534e-02
