# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid
2.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000266e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.650000000000000355e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000089e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000355e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000266e+00,9.999988688222122279e-01,0.000000000000000000e+00,-9.999994344111060585e-01,1.570794549944982466e+00,-1.111959709167521294e-04,0.000000000000000000e+00,5.559798545837606469e-05,-1.746662226704263931e-04
3.100000000000000089e+00,9.999667777929687196e-01,0.000000000000000000e+00,-9.999833888964844153e-01,1.570744141474123889e+00,-1.603559179687531408e-03,0.000000000000000000e+00,8.017795898437657040e-04,-2.518864869251412168e-03
3.150000000000000355e+00,9.997688490401840378e-01,0.000000000000000000e+00,-9.998844245200919634e-01,1.570433235716282461e+00,-7.296633592987248132e-03,0.000000000000000000e+00,3.648316796493624066e-03,-1.146152524583261487e-02
3.200000000000000178e+00,9.991090799999999827e-01,0.000000000000000000e+00,-9.995545399999999914e-01,1.569396872931428488e+00,-2.066715000000042546e-02,0.000000000000000000e+00,1.033357500000021273e-02,-3.246388330531981697e-02
3.250000000000000000e+00,9.975177198648452759e-01,0.000000000000000000e+00,-9.987588599324226379e-01,1.566897170276519535e+00,-4.507988691330036546e-02,0.000000000000000000e+00,2.253994345665018273e-02,-7.081132077574153749e-02
3.300000000000000266e+00,9.943713368945311659e-01,0.000000000000000000e+00,-9.971856684472655274e-01,1.561954843464059994e+00,-8.324368417968927569e-02,0.000000000000000000e+00,4.162184208984463785e-02,-1.307588733383303892e-01
3.350000000000000089e+00,9.889351264500043648e-01,0.000000000000000000e+00,-9.944675632250021824e-01,1.553415664066113422e+00,-1.368606324943569819e-01,0.000000000000000000e+00,6.843031624717849093e-02,-2.149801788049622020e-01
3.400000000000000355e+00,9.804185599999996059e-01,0.000000000000000000e+00,-9.902092799999997474e-01,1.540037872769541183e+00,-2.064384000000046293e-01,0.000000000000000000e+00,1.032192000000023147e-01,-3.242726804294229215e-01
3.450000000000000178e+00,9.680369288420479501e-01,0.000000000000000000e+00,-9.840184644210240306e-01,1.520588852026901527e+00,-2.912375951408448516e-01,0.000000000000000000e+00,1.456187975704224258e-01,-4.574749446718184287e-01
3.500000000000000000e+00,9.510726928710927508e-01,0.000000000000000000e+00,-9.755363464355464309e-01,1.493941492476843269e+00,-3.893280029296957157e-01,0.000000000000000000e+00,1.946640014648478578e-01,-6.115549969203588621e-01
3.550000000000000266e+00,9.289318044213470404e-01,0.000000000000000000e+00,-9.644659022106735202e-01,1.459162666228007055e+00,-4.977294697746393326e-01,0.000000000000000000e+00,2.488647348873196663e-01,-7.818316228595749706e-01
3.600000000000000089e+00,9.011913399999978980e-01,0.000000000000000000e+00,-9.505956699999988935e-01,1.415588046611367279e+00,-6.126151500000143191e-01,0.000000000000000000e+00,3.063075750000071595e-01,-9.622936273589273171e-01
3.650000000000000355e+00,8.676358386249130028e-01,0.000000000000000000e+00,-9.338179193124565014e-01,1.362879188307622780e+00,-7.295567651848021695e-01,0.000000000000000000e+00,3.647783825924010848e-01,-1.145985086940654263e+00
3.700000000000000178e+00,8.282807144726522797e-01,0.000000000000000000e+00,-9.141403572363261398e-01,1.301060303848694755e+00,-8.437934654297083448e-01,0.000000000000000000e+00,4.218967327148541724e-01,-1.325427676070523697e+00
3.750000000000000000e+00,7.833819836378048684e-01,0.000000000000000000e+00,-8.916909918189024342e-01,1.230533542375563449e+00,-9.505078196525820200e-01,0.000000000000000000e+00,4.752539098262910100e-01,-1.493054191700103450e+00
